회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
에이프로젠제약,3060,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",http://www.aprogen-pharm.com,제약,메르스 코로나 바이러스,
F&F,7700,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",http://www.fnf.co.kr,"섬유,의류,신발,호화품",패션/의류,
아남전자,8700,"칼라TV,오디오,비디오 제조,도매",http://www.aname.co.kr,전자제품,,
현대미포조선,10620,"선박수리,선박개조,선박신조",http://www.hmd.co.kr,조선,LNG(액화천연가스),현대중공업
GS건설,6360,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",http://www.gsconst.co.kr/,건설,건설 대표주,GS
삼아알미늄,6110,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",http://www.sama-al.com,비철금속,비철금속,
한국전자홀딩스,6200,"시장조사,경영컨설팅",http://www.kecholdings.co.kr,반도체와반도체장비,쿠팡 관련주,
삼성SDI,6400,"2차전지, 전자재료 제조 판매",http://www.samsungsdi.co.kr,전기제품,2차전지(생산),삼성
삼성전기,9150,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",http://www.sem.samsung.co.kr,전자장비와기기,폴더블폰,삼성
동부건설,5960,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",http://dbcon.dongbu.co.kr,건설,건설 중소형,
케이씨티시,9070,"화물자동차운송,항만하역,창고보관,컨테이너조작,중량물해상운송",http://www.kctc.co.kr,,,
코오롱글로벌,3070,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",http://www.kolonglobal.com,건설,건설 중소형,코오롱
